id,model,kind,world_scope,is_stop_control,x,y,z,rotation_x,rotation_y,rotation_z,rotation_w,source_ymap
gta-v-sign-0001,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2335.7034,3269.0288,31.81049,0.0,0.0,0.96592563,-0.2588199,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_4.ymap
gta-v-sign-0002,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2322.193,3241.1082,31.837078,0.0,0.0,0.96592563,-0.2588199,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_4.ymap
gta-v-sign-0003,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2320.791,3218.0283,31.837078,0.0,0.0,0.30070594,0.95371693,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_4.ymap
gta-v-sign-0004,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2309.009,3229.3318,31.976852,0.0,0.0,-0.49999902,0.866026,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_4.ymap
gta-v-sign-0005,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2292.111,3293.5286,31.81049,0.0,0.0,0.70710737,0.70710635,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_5.ymap
gta-v-sign-0006,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2266.7798,3336.8223,31.844904,0.05585501,-0.026045004,0.93855524,-0.3395821,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_5.ymap
gta-v-sign-0007,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2265.8416,3313.829,31.976694,0.0,0.0,0.2588199,0.9659256,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_5.ymap
gta-v-sign-0008,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2256.8135,3328.557,31.78058,0.0,0.0,-0.49999902,0.866026,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_5.ymap
gta-v-sign-0009,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2210.5483,3287.402,31.78058,0.0,0.0,0.8870111,0.46174806,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_5.ymap
gta-v-sign-0010,prop_sign_road_01a,standard_stop,los_santos_blaine_county,True,-2186.462,3290.2766,31.809917,0.0,0.0,0.9396924,-0.34202108,update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_07_strm_5.ymap
